subset,protocol,method,seed,metric,variable,value,metrics_path,predictions_path,config_path
multi-partial,shared_planets,conv_decoder,3,relative_acc,surface_temperature,1.0133177042007446,,,
multi-partial,shared_planets,conv_decoder,3,relative_acc,temperature,4.024232387542725,,,
multi-partial,shared_planets,conv_decoder,3,relative_acc,specific_humidity_dex,1.1470595598220825,,,
multi-partial,shared_planets,conv_decoder,3,relative_acc,cloud_fraction,1.4736628532409668,,,
multi-partial,shared_planets,conv_decoder,3,relative_acc,u,3.4556643962860107,,,
multi-partial,shared_planets,conv_decoder,3,relative_acc,v,1.281843662261963,,,
multi-partial,shared_planets,conv_decoder,3,relative_acc,asr,1.0016570091247559,,,
multi-partial,shared_planets,conv_decoder,3,relative_acc,olr,1.1572234630584717,,,
multi-partial,standard,conv_decoder,4,rmse,surface_temperature,12.19942569732666,,,
multi-partial,standard,conv_decoder,4,rmse,temperature,9.975538349151611,,,
multi-partial,standard,conv_decoder,4,rmse,specific_humidity_dex,0.5228985726833344,,,
multi-partial,standard,conv_decoder,4,rmse,cloud_fraction,0.08020416013896466,,,
multi-partial,standard,conv_decoder,4,rmse,u,9.620739555358886,,,
multi-partial,standard,conv_decoder,4,rmse,v,4.0130377292633055,,,
multi-partial,standard,conv_decoder,4,rmse,asr,39.648921966552734,,,
multi-partial,standard,conv_decoder,4,rmse,olr,18.49844741821289,,,
multi-partial,standard,conv_decoder,4,acc,surface_temperature,0.9274541735649109,,,
multi-partial,standard,conv_decoder,4,acc,temperature,0.47697114646434785,,,
multi-partial,standard,conv_decoder,4,acc,specific_humidity_dex,0.6933918565511703,,,
multi-partial,standard,conv_decoder,4,acc,cloud_fraction,0.6927524834871293,,,
multi-partial,standard,conv_decoder,4,acc,u,0.6911546647548675,,,
multi-partial,standard,conv_decoder,4,acc,v,0.7003134906291961,,,
multi-partial,standard,conv_decoder,4,acc,asr,0.9928622841835022,,,
multi-partial,standard,conv_decoder,4,acc,olr,0.867758572101593,,,
multi-partial,standard,conv_decoder,4,ramse,surface_temperature,13.029633522033691,,,
multi-partial,standard,conv_decoder,4,ramse,temperature,11.213058185577392,,,
multi-partial,standard,conv_decoder,4,ramse,specific_humidity_dex,0.5820950657129288,,,
multi-partial,standard,conv_decoder,4,ramse,cloud_fraction,0.09301575012505055,,,
multi-partial,standard,conv_decoder,4,ramse,u,11.523440265655518,,,
multi-partial,standard,conv_decoder,4,ramse,v,4.791512584686279,,,
multi-partial,standard,conv_decoder,4,ramse,asr,41.87266540527344,,,
multi-partial,standard,conv_decoder,4,ramse,olr,19.912128448486328,,,
multi-partial,shared_planets,conv_decoder,4,relative_rmse,surface_temperature,0.9816464185714722,,,
multi-partial,shared_planets,conv_decoder,4,relative_rmse,temperature,0.9318585991859436,,,
multi-partial,shared_planets,conv_decoder,4,relative_rmse,specific_humidity_dex,0.840835690498352,,,
